Data,bid,ask,price,usd/brl,
1479262418100049, 1.07457, 1.0747, 1.074635, 3.4408, 
1479389214557469, 1.07195, 1.07209, 1.07202, 3.4124, 
1479389228231482, 1.07202, 1.07216, 1.07209, 3.4124, 
1479389233259241, 1.07205, 1.0722, 1.072125, 3.4124, 
1479389235586714, 1.07222, 1.07234, 1.0722800000000001, 3.4124, 
1479389238540536, 1.0722, 1.07232, 1.07226, 3.4124, 
1479389240333579, 1.07222, 1.07234, 1.0722800000000001, 3.4124, 
1479389244934038, 1.07218, 1.07231, 1.0722450000000001, 3.4124, 
1479389249071381, 1.07217, 1.0723, 1.072235, 3.4124, 
1479389258363986, 1.0722, 1.07234, 1.07227, 3.4124, 
1479389261736259, 1.0722, 1.07233, 1.072265, 3.4124, 
1479389262389655, 1.07217, 1.0723, 1.072235, 3.4124, 
1479389265892369, 1.07203, 1.07216, 1.072095, 3.4124, 
1479389273919362, 1.07201, 1.07214, 1.072075, 3.4124, 
1479389285690013, 1.0719, 1.07204, 1.07197, 3.4124, 
1479389290224378, 1.07188, 1.07202, 1.07195, 3.4124, 
1479389292562480, 1.0717, 1.07186, 1.07178, 3.4124, 
1479389295806763, 1.07166, 1.07179, 1.071725, 3.4124, 
1479389301164359, 1.07173, 1.07187, 1.0718, 3.4124, 
1479389308305262, 1.07182, 1.07194, 1.07188, 3.4124, 
1479389311250313, 1.07174, 1.07188, 1.07181, 3.4124, 
1479389314019348, 1.07174, 1.07185, 1.0717949999999998, 3.4124, 
1479389315733013, 1.07168, 1.07181, 1.071745, 3.4124, 
1479389318264435, 1.07165, 1.07179, 1.07172, 3.4124, 
1479389320761600, 1.07147, 1.07162, 1.071545, 3.4124, 
1479389323338161, 1.0715, 1.07164, 1.07157, 3.4124, 
1479389324531246, 1.07151, 1.07168, 1.0715949999999999, 3.4124, 
1479389337028922, 1.07152, 1.07168, 1.0716, 3.4124, 
1479389341199217, 1.0715, 1.07166, 1.07158, 3.4124, 
1479389343693366, 1.07146, 1.07164, 1.07155, 3.4124, 
1479389346913936, 1.07148, 1.07163, 1.071555, 3.4124, 
1479389348924871, 1.07148, 1.07165, 1.071565, 3.4124, 
1479389351835165, 1.07151, 1.07168, 1.0715949999999999, 3.4124, 
1479389354178490, 1.07155, 1.07171, 1.0716299999999999, 3.4124, 
1479389356484235, 1.07151, 1.07168, 1.0715949999999999, 3.4124, 
1479389358587207, 1.07163, 1.0718, 1.0717150000000002, 3.4124, 
1479389359450544, 1.07158, 1.07174, 1.07166, 3.4124, 
1479389361978465, 1.07161, 1.07181, 1.07171, 3.4124, 
1479389366029161, 1.0717, 1.07186, 1.07178, 3.4124, 
1479389370141024, 1.07176, 1.07195, 1.071855, 3.4124, 
1479389377960333, 1.07179, 1.07197, 1.0718800000000002, 3.4124, 
1479389382535910, 1.07181, 1.07201, 1.07191, 3.4124, 
1479389386561834, 1.07183, 1.07203, 1.07193, 3.4124, 
1479389388523449, 1.0721, 1.07235, 1.072225, 3.4124, 
1479389390667186, 1.07207, 1.07238, 1.072225, 3.4124, 
1479389393171325, 1.07196, 1.07226, 1.07211, 3.4124, 
1479389395014915, 1.07188, 1.07223, 1.072055, 3.4124, 
1479389396724689, 1.07181, 1.07224, 1.072025, 3.4124, 
1479389400301333, 1.07176, 1.07243, 1.072095, 3.4124, 
1479389402980398, 1.07277, 1.07336, 1.0730650000000002, 3.4124, 
1479389405146032, 1.07288, 1.07332, 1.0731000000000002, 3.4124, 
1479389409092831, 1.07253, 1.07297, 1.07275, 3.4124, 
1479389411515001, 1.07243, 1.07276, 1.072595, 3.4124, 
1479389413736320, 1.07238, 1.07264, 1.07251, 3.4124, 
1479389416136224, 1.0723, 1.07259, 1.072445, 3.4124, 
1479389418394899, 1.07225, 1.07254, 1.072395, 3.4124, 
1479389420309902, 1.07205, 1.07225, 1.07215, 3.4124, 
1479389423276019, 1.07159, 1.07186, 1.071725, 3.4124, 
1479389425931708, 1.07151, 1.07173, 1.07162, 3.4124, 
1479389428169791, 1.07165, 1.07188, 1.071765, 3.4124, 
1479389430473653, 1.07169, 1.07187, 1.07178, 3.4124, 
1479389432776872, 1.07148, 1.07164, 1.0715599999999998, 3.4124, 
1479389434867063, 1.07138, 1.07154, 1.07146, 3.4124, 
1479389435541508, 1.07137, 1.07153, 1.07145, 3.4124, 
1479389439665211, 1.07122, 1.07142, 1.07132, 3.4124, 
1479389442105122, 1.07121, 1.07143, 1.07132, 3.4124, 
1479389443952921, 1.07109, 1.07125, 1.07117, 3.4124, 
1479389446745981, 1.07092, 1.07109, 1.071005, 3.4124, 
1479389449007767, 1.07081, 1.07098, 1.0708950000000002, 3.4124, 
1479389449766525, 1.07079, 1.07094, 1.070865, 3.4124, 
1479389453687251, 1.07076, 1.07093, 1.0708449999999998, 3.4124, 
1479389456245837, 1.07089, 1.07105, 1.07097, 3.4124, 
1479389458432785, 1.07108, 1.07125, 1.0711650000000001, 3.4124, 
1479389459531276, 1.07093, 1.07114, 1.071035, 3.4124, 
1479389462969150, 1.07103, 1.0712, 1.0711149999999998, 3.4124, 
1479389465394961, 1.07086, 1.07102, 1.07094, 3.4124, 
1479389467479579, 1.07074, 1.07089, 1.070815, 3.4124, 
1479389470102062, 1.07069, 1.07086, 1.0707749999999998, 3.4124, 
1479389471828891, 1.0707, 1.07085, 1.070775, 3.4124, 
1479389474379941, 1.07065, 1.0708, 1.070725, 3.4124, 
1479389477227566, 1.07072, 1.07087, 1.070795, 3.4124, 
1479389479520813, 1.07072, 1.07086, 1.07079, 3.4124, 
1479389481778958, 1.07073, 1.07088, 1.070805, 3.4124, 
1479389484226908, 1.07082, 1.07097, 1.0708950000000002, 3.4124, 
1479389486221273, 1.07069, 1.07084, 1.070765, 3.4124, 
1479389488717018, 1.0708, 1.07095, 1.070875, 3.4124, 
1479389490807714, 1.07089, 1.07103, 1.07096, 3.4124, 
1479389493452869, 1.07068, 1.07084, 1.07076, 3.4124, 
1479389495454001, 1.07083, 1.07098, 1.070905, 3.4124, 
1479389497656359, 1.0708, 1.07097, 1.070885, 3.4124, 
1479389500331307, 1.07072, 1.07089, 1.070805, 3.4124, 
1479389501890185, 1.07092, 1.07106, 1.07099, 3.4124, 
1479389503475242, 1.07091, 1.07106, 1.0709849999999999, 3.4124, 
1479389508532475, 1.07075, 1.07091, 1.07083, 3.4124, 
1479389510407929, 1.07062, 1.07078, 1.0707, 3.4124, 
1479389513238377, 1.07069, 1.07084, 1.070765, 3.4124, 
1479389515966733, 1.07072, 1.07088, 1.0708, 3.4124, 
1479389519054980, 1.07091, 1.07104, 1.070975, 3.4124, 
1479389521583442, 1.0709, 1.07106, 1.07098, 3.4124, 
1479389522963924, 1.0709, 1.07104, 1.07097, 3.4124, 
1479389525646951, 1.07059, 1.07077, 1.0706799999999999, 3.4124, 
1479389528237462, 1.07061, 1.07079, 1.0707, 3.4124, 
1479389529389268, 1.07059, 1.07075, 1.07067, 3.4124, 
1479389533231424, 1.07051, 1.07068, 1.070595, 3.4124, 
1479389533990031, 1.07055, 1.0707, 1.070625, 3.4124, 
1479389537779330, 1.07048, 1.07065, 1.0705650000000002, 3.4124, 
1479389540095236, 1.07037, 1.07052, 1.0704449999999999, 3.4124, 
1479389542557447, 1.07005, 1.0702, 1.070125, 3.4124, 
1479389544684948, 1.07026, 1.07044, 1.07035, 3.4124, 
1479389547162503, 1.0703, 1.07046, 1.07038, 3.4124, 
1479389549514803, 1.07021, 1.07034, 1.070275, 3.4124, 
1479389551904502, 1.07013, 1.07029, 1.0702099999999999, 3.4124, 
1479389553259478, 1.07002, 1.07017, 1.070095, 3.4124, 
1479389555920227, 1.07003, 1.07019, 1.0701100000000001, 3.4124, 
1479389558246768, 1.07006, 1.07022, 1.0701399999999999, 3.4124, 
1479389560975633, 1.06992, 1.07007, 1.069995, 3.4124, 
1479389563608798, 1.07006, 1.07019, 1.070125, 3.4124, 
1479389565823370, 1.06999, 1.07015, 1.0700699999999999, 3.4124, 
1479389568240754, 1.07005, 1.07021, 1.07013, 3.4124, 
1479389572091452, 1.07013, 1.07027, 1.0702, 3.4124, 
1479389574586081, 1.07024, 1.07038, 1.07031, 3.4124, 
1479389577408760, 1.07026, 1.0704, 1.07033, 3.4124, 
1479389578747496, 1.07027, 1.07042, 1.070345, 3.4124, 
1479389581348269, 1.0703, 1.07044, 1.07037, 3.4124, 
1479389586354013, 1.07033, 1.07047, 1.0704, 3.4124, 
1479389588176252, 1.07026, 1.07039, 1.070325, 3.4124, 
1479389589525656, 1.07012, 1.07027, 1.070195, 3.4124, 
1479389593669083, 1.07014, 1.07027, 1.070205, 3.4124, 
1479389595347289, 1.07024, 1.07038, 1.07031, 3.4124, 
1479389598148956, 1.07045, 1.07061, 1.07053, 3.4124, 
1479389600080164, 1.07041, 1.07054, 1.070475, 3.4124, 
1479389602806191, 1.0705, 1.07064, 1.07057, 3.4124, 
1479389604856610, 1.07045, 1.07059, 1.07052, 3.4124, 
1479389607631400, 1.07037, 1.07052, 1.0704449999999999, 3.4124, 
1479389609919971, 1.07017, 1.07032, 1.070245, 3.4124, 
1479389611702298, 1.0702, 1.07036, 1.07028, 3.4124, 
1479389612944240, 1.0702, 1.07034, 1.07027, 3.4124, 
1479389615527485, 1.07019, 1.07032, 1.070255, 3.4124, 
1479389618956946, 1.07032, 1.07045, 1.070385, 3.4124, 
1479389620747888, 1.07039, 1.07052, 1.070455, 3.4124, 
1479389623625861, 1.07048, 1.07063, 1.0705550000000001, 3.4124, 
1479389628364152, 1.0704, 1.07056, 1.0704799999999999, 3.4124, 
1479389630358402, 1.0703, 1.07044, 1.07037, 3.4124, 
1479389632789535, 1.07034, 1.07046, 1.0704, 3.4124, 
1479389633984767, 1.07031, 1.07044, 1.070375, 3.4124, 
1479389637634815, 1.0703, 1.07045, 1.0703749999999999, 3.4124, 
1479389639414637, 1.07022, 1.07036, 1.07029, 3.4124, 
1479389642152136, 1.07016, 1.07028, 1.07022, 3.4124, 
1479389644010220, 1.06994, 1.07008, 1.07001, 3.4124, 
1479389646688221, 1.06998, 1.07014, 1.07006, 3.4124, 
1479389647876444, 1.07012, 1.07027, 1.070195, 3.4124, 
1479389649790502, 1.0701, 1.07023, 1.070165, 3.4124, 
1479389653630128, 1.07013, 1.0703, 1.0702150000000001, 3.4124, 
1479389655930048, 1.07012, 1.07027, 1.070195, 3.4124, 
1479389660775409, 1.07018, 1.07033, 1.070255, 3.4124, 
1479389663066009, 1.07021, 1.07035, 1.07028, 3.4124, 
1479389665109523, 1.07024, 1.07036, 1.0703, 3.4124, 
1479389667349785, 1.07015, 1.07028, 1.070215, 3.4124, 
1479389669990571, 1.07006, 1.07024, 1.07015, 3.4124, 
1479389672196268, 1.07014, 1.07027, 1.070205, 3.4124, 
1479389673419764, 1.07024, 1.07038, 1.07031, 3.4124, 
1479389678499451, 1.07025, 1.07042, 1.070335, 3.4124, 
1479389681458191, 1.07043, 1.07055, 1.07049, 3.4124, 
1479389684028298, 1.07039, 1.07053, 1.07046, 3.4124, 
1479389686473288, 1.07035, 1.07052, 1.0704349999999998, 3.4124, 
1479389692993352, 1.07044, 1.07059, 1.0705149999999999, 3.4124, 
1479389695476820, 1.07043, 1.07055, 1.07049, 3.4124, 
1479389696356473, 1.07046, 1.0706, 1.07053, 3.4124, 
1479389698600822, 1.07052, 1.07064, 1.07058, 3.4124, 
1479389702129585, 1.07068, 1.07085, 1.0707650000000002, 3.4144, 
1479389703092322, 1.07071, 1.07087, 1.0707900000000001, 3.4144, 
1479389707302291, 1.07061, 1.07077, 1.07069, 3.4144, 
1479389709251006, 1.07055, 1.07069, 1.07062, 3.4144, 
1479389712043049, 1.0706, 1.07074, 1.07067, 3.4144, 
1479389714793372, 1.07073, 1.07087, 1.0708, 3.4144, 
1479389716993390, 1.07068, 1.07083, 1.0707550000000001, 3.4144, 
1479389719352414, 1.07058, 1.07074, 1.0706600000000002, 3.4144, 
1479389721305291, 1.07043, 1.07056, 1.070495, 3.4144, 
1479389723192765, 1.07028, 1.07046, 1.07037, 3.4144, 
1479389728625255, 1.07033, 1.07049, 1.0704099999999999, 3.4144, 
1479389731089790, 1.07037, 1.07051, 1.07044, 3.4144, 
1479389737140664, 1.07038, 1.07051, 1.070445, 3.4144, 
1479389739383705, 1.07045, 1.07061, 1.07053, 3.4144, 
1479389741822673, 1.0705, 1.07063, 1.070565, 3.4144, 
1479389748921743, 1.07053, 1.07067, 1.0706, 3.4144, 
1479389762074095, 1.07058, 1.07071, 1.070645, 3.4144, 
1479389764756110, 1.07044, 1.07057, 1.070505, 3.4144, 
1479389765742771, 1.07044, 1.07057, 1.070505, 3.4144, 
1479389767813308, 1.07041, 1.07054, 1.070475, 3.4144, 
1479389772174504, 1.0704, 1.07052, 1.07046, 3.4144, 
1479389773797629, 1.07033, 1.07045, 1.07039, 3.4144, 
1479389776591317, 1.0703, 1.07045, 1.0703749999999999, 3.4144, 
1479389779124849, 1.07037, 1.0705, 1.070435, 3.4144, 
1479389780811319, 1.07043, 1.07058, 1.070505, 3.4144, 
1479389782814537, 1.07044, 1.07057, 1.070505, 3.4144, 
1479389785223115, 1.07044, 1.07057, 1.070505, 3.4144, 
1479389792814244, 1.07041, 1.07054, 1.070475, 3.4144, 
1479389794857853, 1.07035, 1.07048, 1.0704150000000001, 3.4144, 
1479389799083397, 1.0704, 1.07053, 1.070465, 3.4144, 
1479389805818100, 1.07037, 1.07049, 1.07043, 3.4144, 
1479389810883273, 1.07039, 1.07051, 1.0704500000000001, 3.4144, 
1479389818916196, 1.07042, 1.07055, 1.070485, 3.4144, 
1479389821447545, 1.07039, 1.07052, 1.070455, 3.4144, 
1479389823519025, 1.07036, 1.0705, 1.07043, 3.4144, 
1479389828942360, 1.07046, 1.0706, 1.07053, 3.4144, 
1479389830284081, 1.07042, 1.07057, 1.070495, 3.4144, 
1479389831910483, 1.07047, 1.0706, 1.070535, 3.4144, 
1479389840154277, 1.07068, 1.07083, 1.0707550000000001, 3.4144, 
1479389841908101, 1.07069, 1.07082, 1.0707550000000001, 3.4144, 
1479389844862419, 1.07064, 1.07077, 1.070705, 3.4144, 
1479389846268537, 1.07071, 1.07084, 1.070775, 3.4144, 
1479389849520884, 1.07075, 1.07087, 1.07081, 3.4144, 
1479389851468365, 1.07072, 1.07085, 1.0707849999999999, 3.4144, 
1479389853840009, 1.07063, 1.07078, 1.070705, 3.4144, 
1479389857039361, 1.07064, 1.07078, 1.07071, 3.4144, 
1479389857730435, 1.0705, 1.07067, 1.070585, 3.4144, 
1479389863306923, 1.07042, 1.07055, 1.070485, 3.4144, 
1479389865795876, 1.07038, 1.07052, 1.0704500000000001, 3.4144, 
1479389869851279, 1.07043, 1.07057, 1.0705, 3.4144, 
1479389871590303, 1.07034, 1.07053, 1.070435, 3.4144, 
1479389874482540, 1.07036, 1.0705, 1.07043, 3.4144, 
1479389877216604, 1.07037, 1.07052, 1.0704449999999999, 3.4144, 
1479389879032052, 1.07033, 1.07048, 1.070405, 3.4144, 
1479389882314742, 1.07029, 1.07042, 1.070355, 3.4144, 
1479389883446822, 1.0703, 1.07046, 1.07038, 3.4144, 
1479389885837809, 1.07032, 1.07043, 1.0703749999999999, 3.4144, 
1479389889092478, 1.07029, 1.07043, 1.07036, 3.4144, 
1479389893272845, 1.07025, 1.0704, 1.070325, 3.4144, 
